Strain,RME1.expression,Spo,Psh
PMY017,-11.12,1,0
PMY070,-7.93,0,1
PMY093,NA,1,0
PMY110,-8.41,0,1
PMY112,-8.09,0,1
PMY125,NA,1,0
PMY127,-8.15,0,1
PMY131,-8.72,1,0
PMY132,NA,0,0
PMY141,-7.49,0,1
PMY142,NA,0,NA
PMY144,-7.3,0,1
PMY011,-9.61,1,0
PMY012,-10.07,1,0
PMY014,-10.2,1,0
PMY015,-10.56,1,0
PMY018,-8.94,1,0
PMY072,-7.4,0,1
PMY074,-6.71,NA,1
PMY083,-7.68,0,1
PMY084,-7.97,0,1
PMY086,-9.58,1,0
PMY087,-9.38,1,0
PMY088,-8.95,1,0
PMY094,NA,1,0
PMY095,-9.41,1,0
PMY111,NA,0,1
PMY113,-8.27,0,1
PMY116,-6.74,0,0
PMY119,-9.04,0,0
PMY120,-7.39,0,NA
PMY121,-6.83,0,NA
PMY128,-6.84,0,1
PMY129,-8.52,0,1
PMY133,-8.32,0,1
PMY137,-8.95,0,1
PMY140,-7.34,1,0
PMY147,-7.57,0,NA
