gene,std.name,ftr.qualifier,alpha_0,alpha_105,alpha_112,alpha_119,alpha_14,alpha_21,alpha_28,alpha_35,alpha_42,alpha_49,alpha_56,alpha_63,alpha_7,alpha_70,alpha_77,alpha_84,alpha_91,alpha_98,cdc15_10,cdc15_100,cdc15_110,cdc15_120,cdc15_130,cdc15_140,cdc15_150,cdc15_160,cdc15_170,cdc15_180,cdc15_190,cdc15_200,cdc15_210,cdc15_220,cdc15_230,cdc15_240,cdc15_250,cdc15_270,cdc15_290,cdc15_30,cdc15_50,cdc15_70,cdc15_80,cdc15_90,cdc28_0,cdc28_10,cdc28_100,cdc28_110,cdc28_120,cdc28_130,cdc28_140,cdc28_150,cdc28_160,cdc28_20,cdc28_30,cdc28_40,cdc28_50,cdc28_60,cdc28_70,cdc28_80,cdc28_90,elu_0,elu_120,elu_150,elu_180,elu_210,elu_240,elu_270,elu_30,elu_300,elu_330,elu_360,elu_390,elu_60,elu_90,description
YAL001C,TFC3,Verified,-0.15,0.77,-0.21,0.43,-0.21,0.17,-0.42,-0.44,-0.15,0.24,-0.1,NA,-0.15,0.18,0.42,-0.25,-0.01,-0.13,-0.16,-0.28,-0.44,-0.09,0.12,0.06,-0.04,0.31,0.59,0.34,-0.28,-0.09,-0.44,0.31,0.03,0.57,0,0.02,-0.26,0.09,-0.23,0.03,-0.04,-0.12,-0.19,-0.77,0.27,0.49,0.85,0.66,-0.24,0.03,0.09,-0.17,-0.19,0.13,-0.36,-0.55,-0.07,-0.01,0.03,0.3,-0.24,0.11,-0.12,0.37,0.07,-0.09,-0.12,-0.32,0.04,-0.48,0.04,0.24,0.18,Subunit of RNA polymerase III transcription initiation factor complex; part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC)
YAL002W,VPS8,Verified,-0.11,0.58,-0.36,0.13,0.01,0.06,0.04,-0.26,0.04,0.19,-0.22,-0.2,0.1,0.12,0.21,-0.26,-0.3,0.22,NA,0.08,-0.62,0.55,-0.32,0.03,-0.56,0.47,-0.15,0.49,NA,0.23,-0.49,0.33,0.18,0.65,-0.29,NA,NA,NA,NA,-0.58,0.23,-0.23,0.83,-0.01,0.08,-0.03,0.39,-0.09,NA,0.19,-0.14,-0.77,-0.62,0.14,-0.58,-0.05,0.23,0.2,0.23,0.14,0.03,-0.08,-0.13,-0.21,-0.06,-0.1,0.17,-0.19,0.08,0.01,-0.02,0.03,0.35,Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif
YAL003W,EFB1,Verified,-0.14,0.55,-0.08,0.33,0.1,-0.32,-0.4,-0.58,0.11,0.21,0.09,0.57,-0.71,-0.14,0.29,0.01,0.04,0.05,-0.37,0.08,-0.24,0.37,-0.22,0.16,-0.21,0.03,0.03,0.48,NA,0.22,-0.06,0.08,0.56,0.48,-0.47,-0.45,-0.41,-0.22,-0.16,0.04,0.53,-0.25,-0.36,-0.22,-2.82,0.38,-0.22,0.47,0.89,0.48,0.8,0.22,-0.28,0.41,-0.8,0.42,0.05,-0.47,1.06,-1.54,0.18,0.28,0.15,0.4,0.24,0.22,-0.3,-0.27,-0.1,0.34,0.02,NA,0.39,"Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site; human homolog EEF1B2 can complement yeast efb1 mutants"
YAL004W,NA,Dubious,-0.02,0.23,-0.45,0.02,-0.11,0.12,-0.03,0.19,0.13,0.76,0.07,0.04,-0.48,-0.06,0.3,-0.47,-0.16,-0.11,NA,-0.06,-1.78,0.14,-1.13,-0.13,-1.27,-0.27,-0.94,0.14,NA,1.04,0.48,1.94,1.62,1.73,1.22,NA,NA,NA,NA,-1.5,-0.03,-1.2,1.64,1.14,-0.6,-0.16,-0.12,-0.38,0.01,NA,NA,0.88,-0.07,0.03,-1.18,0.07,-0.34,-0.73,-0.18,0.36,-0.15,-0.73,-0.79,-0.2,0.34,0.07,0.1,-0.59,0.35,0.66,0.32,0.11,0.14,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps verified gene SSA1/YAL005C"
YAL005C,SSA1,Verified,-0.05,0.68,-0.24,0.22,-0.47,-0.06,0.11,-0.07,0.25,0.46,0.12,0.49,-0.53,-0.42,0.28,-0.3,-0.18,-0.3,-0.43,-0.71,-1.53,-0.1,-1.15,-0.33,-1.15,-0.19,-0.84,0.52,NA,1.18,0.88,1.8,2.24,2.34,1.43,1.27,1.18,-1.33,-1.53,-1.53,-0.37,-1.65,1.55,1.58,-0.96,-0.53,-0.66,NA,-0.27,-0.41,0.35,1.34,0.01,0.53,-0.8,-0.16,-0.61,-0.9,-0.07,-0.09,-0.45,-0.83,-0.26,-0.16,0.3,0.21,-0.02,-0.43,0.21,0.6,0.65,NA,0.25,"ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; required for ubiquitin-dependent degradation of short-lived proteins; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, cell wall; 98% identical to paralog Ssa2p with different functional specificity in propagation of yeast [URE3] prions, vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils"
YAL007C,ERP2,Verified,-0.6,0.16,-0.01,-0.21,-0.13,0.35,-0.01,0.49,0.18,0.43,-0.23,-0.3,-0.45,-0.24,0.23,0.04,0.09,0.18,NA,0.03,-1,0,-0.41,0.1,0.14,0.4,0.2,0.24,NA,0.26,-0.39,0.43,-0.26,-0.33,-0.37,NA,NA,NA,NA,0.14,0.58,0.25,-0.59,-0.16,0.07,0.32,0.01,0.17,NA,-0.21,-0.14,0.66,-0.1,0.07,-0.33,0.41,-0.23,-0.51,0.58,-0.17,0.36,0.17,0.39,0.1,0,-0.16,-0.28,0.29,-0.06,-0.26,-0.41,-0.16,0.2,"Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; role in misfolded protein quality control; forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP2 has a paralog, ERP4, that arose from the whole genome duplication"
YAL008W,FUN14,Verified,-0.28,0.47,-0.49,0.22,-0.06,0.22,0.25,0.13,0.34,0.44,-0.32,0.26,-0.22,-0.77,0.31,-0.09,0.02,-0.45,-0.2,0.03,-0.69,0.55,-0.53,0.1,-0.2,0.29,-0.15,0.6,NA,0.07,-0.31,0.3,0.5,0.82,-0.08,-0.13,-0.04,0.04,-0.27,-0.4,0.44,-0.73,1.15,0.67,-0.3,0.21,0.03,-0.08,-0.1,NA,NA,0.94,NA,-0.38,-0.91,-0.05,-0.91,-0.79,0.52,0.2,-0.42,-0.16,0.2,0.07,0.01,-0.04,0.4,-0.02,0.19,-0.42,0.29,-0.59,0.29,"Integral mitochondrial outer membrane (MOM) protein; dosage suppressor of an MDM10 null that reduces ERMES-related phenotypes, such as alterations in mitochondrial morphology, protein complex assembly, and lipid profile; dosage suppressor of MDM12, MDM34, and MMM1 null mutant growth defects; novel mechanism of MOM import involving Tom70p, the TOM complex, and the TIM23 complex, requiring mitochondrial membrane potential and processing by the IMP complex for correct biogenesis"
YAL009W,SPO7,Verified,-0.03,0.46,0.23,-0.06,0.17,-0.12,-0.27,0.06,0.23,0.11,0.03,-0.27,-0.27,-0.24,0.36,-0.11,0,-0.27,NA,0.23,0.19,-0.1,0,-0.21,0.01,-0.13,-1.38,0.16,0.05,0.29,0.04,0.39,-0.21,0.29,0,0,0.03,-0.02,0,0.07,0.14,0.17,0.39,-0.87,0.18,0.5,0.33,0.06,NA,-0.35,0.44,-0.13,-0.71,0.2,-0.73,0.28,0.25,0.1,0.06,0.49,0.12,0.12,0.29,-0.1,-0.41,-0.65,0.23,-0.07,-0.35,-0.19,0.15,0.06,0.32,"Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme; regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation"
YAL010C,MDM10,Verified,-0.05,0.51,0.31,0.13,0.13,-0.21,-0.45,-0.21,0.06,0.32,0,0.26,0.13,-0.5,0.31,0.1,-0.14,-0.71,-0.24,0.19,-0.31,0.63,-0.31,0.15,-0.27,0.5,-0.14,0.46,NA,0.13,-0.56,0.19,0.71,0.73,-0.4,-0.4,-0.52,-0.06,-0.11,-0.25,0.4,-0.52,0.7,-0.04,-0.24,-0.03,0.24,NA,0.11,0.14,0.08,-0.33,-0.27,-0.02,-0.85,0.2,0.33,0.15,-0.18,0.67,-0.34,-0.17,0.37,-0.08,-0.01,0.02,0.52,0.34,0.05,-0.93,0.05,NA,-0.5,"Subunit of both the ERMES and the SAM complex; component of ERMES complex which acts as a molecular tether between the mitochondria and the ER, necessary for efficient phospholipid exchange between organelles and for mitophagy; SAM/TOB complex component that functions in the assembly of outer membrane beta-barrel proteins; involved in mitochondrial inheritance and morphology; ERMES complex is often co-localized with peroxisomes and concentrated areas of pyruvate dehydrogenase"
YAL011W,SWC3,Verified,-0.31,0.54,-0.16,0.07,-0.3,-0.23,-0.13,-0.07,0.08,0.12,-0.01,-0.13,-0.43,0.12,0.47,-0.3,-0.41,1.04,NA,0.29,-0.52,0.02,-0.15,0.06,-0.17,0.51,-0.2,0.25,NA,-0.14,-0.22,0.23,0.23,0.36,-0.19,NA,NA,NA,NA,-0.29,-0.09,0.02,-0.06,-0.44,-0.12,0.03,-0.17,0.36,0.18,NA,NA,-0.47,-0.73,0.54,-0.4,0.43,0.33,-0.09,0.62,0.03,0.26,-0.01,-0.15,-0.17,0.08,0.11,-0.13,-0.13,-0.09,-0.01,0.01,0.03,0.16,"Protein of unknown function; component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae"
